"Covariate","All Companies","T_Value","P_Value","Significance","Industry_Concentration","N_Sample","N_Industry"
"Food.Code127:Is_Industry1",0.338112926078675,0.359570602137672,0.719168271204055,"None",0.2,146,5
"Food.Code128:Is_Industry1",NA,NA,NA,"None",0,8,0
"Food.Code129:Is_Industry1",0.391413354652515,0.612188676642003,0.540412932461651,"None",0.181818181818182,154,11
"Food.Code130:Is_Industry1",-13.5660664933746,-0.0253376385509606,0.979785652337603,"None",0,10,1
"Food.Code132:Is_Industry1",-0.226353826944451,-0.526795158807889,0.59833584516882,"None",0.107142857142857,625,28
"Food.Code133:Is_Industry1",NA,NA,NA,"None",0,20,0
"Food.Code134:Is_Industry1",NA,NA,NA,"None",0,1,0
"Food.Code135:Is_Industry1",1.11748077297249,0.782792741000597,0.433748830973313,"None",0,201,2
"Food.Code136:Is_Industry1",14.0078992456454,0.0261628792680845,0.979127423793036,"None",0,104,1
"Food.Code138:Is_Industry1",1.09861228866807,0.978163635833975,0.327993398496578,"None",0.4,470,5
"Food.Code139:Is_Industry1",1.01983141081499,0.804413905602418,0.421157972950562,"None",0.333333333333333,133,3
"Food.Code140:Is_Industry1",NA,NA,NA,"None",0,23,0
"Food.Code141:Is_Industry1",13.3053402309178,0.0351441868277689,0.97196476716439,"None",1,137,2
"Food.Code142:Is_Industry1",-12.3133035248795,-0.022997820075213,0.981652011818448,"None",0,17,1
"Food.Code143:Is_Industry1",NA,NA,NA,"None",0,76,0
"Food.Code144:Is_Industry1",-0.974998332700905,-0.94424577251831,0.345044069781169,"None",0,965,21
"Food.Code145:Is_Industry1",0.198363522315724,0.527555864651225,0.597807632828076,"None",0.0344827586206897,1803,29
"Food.Code146:Is_Industry1",13.8537485658189,0.0258749448772525,0.979357084445784,"None",0,9,1
"Food.Code147:Is_Industry1",NA,NA,NA,"None",0,127,1
"Food.Code148:Is_Industry1",0.394553074657184,0.617858887487234,0.53666836171001,"None",0,859,11
"Food.Code149:Is_Industry1",NA,NA,NA,"None",0,13,0
"Food.Code150:Is_Industry1",0.516230571105896,1.40416711802591,0.160269090950709,"None",0.166666666666667,1294,36
"Food.Code151:Is_Industry1",0.507125065609164,2.27343906255569,0.0229997344118716,"5%",0.266666666666667,3951,90
"Food.Code152:Is_Industry1",1.40917865495349,1.61242950504406,0.106868508656221,"None",0,440,6
"Food.Code153:Is_Industry1",NA,NA,NA,"None",0,12,0
"Food.Code154:Is_Industry1",1.17720256326133,1.50731126017961,0.131730892685321,"None",0,264,7
"Food.Code155:Is_Industry1",NA,NA,NA,"None",0,7,0
"Food.Code156:Is_Industry1",NA,NA,NA,"None",0,3,0
"Food.Code157:Is_Industry1",-13.6838495290308,-0.0255576362614747,0.97961017638808,"None",0,29,1
"Food.Code158:Is_Industry1",-13.5660664933731,-0.0253376596870974,0.979785635478818,"None",0,206,1
"Food.Code159:Is_Industry1",-12.8729193128159,-0.0480860732465493,0.961647645305539,"None",0,80,4
"Food.Code160:Is_Industry1",0.17625305095758,0.326292604862584,0.744202982796403,"None",0.0555555555555556,545,18
"Food.Code161:Is_Industry1",NA,NA,NA,"None",0,29,0
"Food.Code162:Is_Industry1",27.1321329867415,0.0438861155871232,0.964995182794573,"None",0,4,1
"Food.Code163:Is_Industry1",0.766496187003224,2.75821016186665,0.00581188192513571,"10%",0.181818181818182,3168,55
